comparison,n_pairs,mean_difference,ci95_low,ci95_high,ci_method
clean_dynamic_communication_topologies / ring / dynamic / vs_mean / trimmed_mean vs mean,100,161.94849999999764,151.85796549999768,172.5087244999975,paired_percentile_bootstrap
clean_dynamic_communication_topologies / scale_free / dynamic / vs_mean / trimmed_mean vs mean,100,230.0018799999972,218.89011199999752,241.44131099999714,paired_percentile_bootstrap
clean_dynamic_communication_topologies / small_world / dynamic / vs_mean / trimmed_mean vs mean,100,183.22261999999796,165.37291499999776,200.47552299999782,paired_percentile_bootstrap
clean_static_all_topologies / complete / static / vs_mean / trimmed_mean vs mean,100,0.5435599999996488,-7.359164000000069,10.521068499999291,paired_percentile_bootstrap
clean_static_all_topologies / ring / static / vs_mean / trimmed_mean vs mean,100,132.9612399999965,121.0653844999965,145.14479249999636,paired_percentile_bootstrap
clean_static_all_topologies / scale_free / static / vs_mean / trimmed_mean vs mean,100,200.13537999999568,187.98882049999568,211.8848349999955,paired_percentile_bootstrap
clean_static_all_topologies / small_world / static / vs_mean / trimmed_mean vs mean,100,212.1986999999963,191.6635509999964,231.47461999999607,paired_percentile_bootstrap
coordinated_dynamic_random_and_degree / ring / dynamic / vs_mean / trimmed_mean vs mean,100,152.2374249999973,140.0934106249977,164.76867749999695,paired_percentile_bootstrap
coordinated_dynamic_random_and_degree / ring / dynamic / vs_mean / trimmed_mean vs mean,100,174.0608999999971,162.6913162499972,185.82668124999708,paired_percentile_bootstrap
coordinated_dynamic_random_and_degree / scale_free / dynamic / vs_mean / trimmed_mean vs mean,100,232.63817499999632,221.33742249999625,244.1052612499963,paired_percentile_bootstrap
coordinated_dynamic_random_and_degree / scale_free / dynamic / vs_mean / trimmed_mean vs mean,100,251.0477749999962,239.7567681249964,262.63712499999644,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_mean / trimmed_mean vs mean,100,130.13142499999606,116.57534687499624,143.460845624996,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_mean / trimmed_mean vs mean,100,149.74257499999572,135.4264393749963,164.2051368749956,paired_percentile_bootstrap
coordinated_static_random_and_degree / scale_free / static / vs_mean / trimmed_mean vs mean,100,203.20519999999414,188.08493624999463,218.8513887499936,paired_percentile_bootstrap
coordinated_static_random_and_degree / scale_free / static / vs_mean / trimmed_mean vs mean,100,223.42187499999508,209.64798249999524,237.4954181249948,paired_percentile_bootstrap
